#BoneName(Original),BoneName(Replace),Bone.hide(Pose)
センター,root,FALSE
上半身,Upper,FALSE
首,Neck,FALSE
頭,Head,FALSE
目.L,eye.L,FALSE
目光.L,eye_hi.L,FALSE
目光先.L,eye_hi_leaf.L,TRUE
目先.L,eye_leaf.L,TRUE
目.R,eye.R,FALSE
目光.R,eye_hi.R,FALSE
目光先.R,eye_hi_leaf.R,TRUE
目先.R,eye_leaf.R,TRUE
髪１.L,hair1.L,FALSE
髪２.L,hair2.L,FALSE
髪３.L,hair3.L,FALSE
髪４.L,hair4.L,FALSE
髪５.L,hair5.L,FALSE
髪６.L,hair6.L,FALSE
髪７.L,hair7.L,TRUE
髪１.R,hair1.R,FALSE
髪２.R,hair2.R,FALSE
髪３.R,hair3.R,FALSE
髪４.R,hair4.R,FALSE
髪５.R,hair5.R,FALSE
髪６.R,hair6.R,FALSE
髪７.R,hair7.R,TRUE
両目,both_eyes,FALSE
両目先,both_eyes_leaf,TRUE
前髪１,hair_front1,FALSE
前髪１先,hair_front1_leaf,TRUE
前髪２,hair_front2,FALSE
前髪２先,hair_front2_leaf,TRUE
前髪３,hair_front3,FALSE
前髪３先,hair_front3_leaf,TRUE
頭先,head_leaf,TRUE
ﾈｸﾀｲ１,necktie1,FALSE
ﾈｸﾀｲ２,necktie2,FALSE
ﾈｸﾀｲ３,necktie3,FALSE
ﾈｸﾀｲ４,necktie4,TRUE
肩.L,sholder.L,FALSE
腕.L,arm.L,FALSE
腕捩.L,arm_twist.L,TRUE
ひじ.L,elbow.L,FALSE
手捩.L,hand_twist.L,TRUE
手首.L,wrist.L,FALSE
親指１.L,thumb1.L,FALSE
親指２.L,thumb2.L,FALSE
親指先.L,thumb_leaf.L,TRUE
人指１.L,index1.L,FALSE
人指２.L,index2.L,FALSE
人指３.L,index3.L,FALSE
人差指先.L,index_leaf.L,TRUE
中指１.L,middle1.L,FALSE
中指２.L,middle2.L,FALSE
中指３.L,middle3.L,FALSE
中指先.L,middle_leaf.L,TRUE
薬指１.L,ring1.L,FALSE
薬指２.L,ring2.L,FALSE
薬指３.L,ring3.L,FALSE
薬指先.L,ring_leaf.L,TRUE
小指１.L,pinky1.L,FALSE
小指２.L,pinky2.L,FALSE
小指３.L,pinky3.L,FALSE
小指先.L,pinky_leaf.L,TRUE
手先.L,hand_leaf.L,TRUE
手捩先.L,hand_twist_leaf.L,TRUE
袖.L,sleeve.L,FALSE
袖先.L,sleeve_leaf.L,TRUE
腕捩先.L,arm_twist_leaf.L,TRUE
腕捩1.L,arm_twist1.L,TRUE
腕捩2.L,arm_twist2.L,TRUE
腕捩3.L,arm_twist3.L,TRUE
肩.R,sholder.R,FALSE
腕.R,arm.R,FALSE
腕捩.R,arm_twist.R,TRUE
ひじ.R,elbow.R,FALSE
手捩.R,hand_twist.R,TRUE
手首.R,wrist.R,FALSE
親指１.R,thumb1.R,FALSE
親指２.R,thumb2.R,FALSE
親指先.R,thumb_leaf.R,TRUE
人指１.R,index1.R,FALSE
人指２.R,index2.R,FALSE
人指３.R,index3.R,FALSE
人差指先.R,index_leaf.R,TRUE
中指１.R,middle1.R,FALSE
中指２.R,middle2.R,FALSE
中指３.R,middle3.R,FALSE
中指先.R,middle_leaf.R,TRUE
薬指１.R,ring1.R,FALSE
薬指２.R,ring2.R,FALSE
薬指３.R,ring3.R,FALSE
薬指先.R,ring_leaf.R,TRUE
小指１.R,pinky1.R,FALSE
小指２.R,pinky2.R,FALSE
小指３.R,pinky3.R,FALSE
小指先.R,pinky_leaf.R,TRUE
手先.R,hand_leaf.R,TRUE
手捩先.R,hand_twist_leaf.R,TRUE
袖.R,sleeve.R,FALSE
袖先.R,sleeve_leaf.R,TRUE
腕捩先.R,arm_twist_leaf.R,TRUE
腕捩1.R,arm_twist1.R,TRUE
腕捩2.R,arm_twist2.R,TRUE
腕捩3.R,arm_twist3.R,TRUE
下半身,Lower,FALSE
腰飾り,,FALSE
腰飾り先,,TRUE
ｽｶｰﾄ前.L,,FALSE
スカート前先.L,,TRUE
ｽｶｰﾄ後.L,,FALSE
スカート後先.L,,TRUE
足.L,Leg.L,FALSE
ひざ.L,Knee.L,FALSE
足首.L,,FALSE
つま先.L,Andle.L,TRUE
ｽｶｰﾄ前.R,,FALSE
スカート前先.R,,TRUE
ｽｶｰﾄ後.R,,FALSE
スカート後先.R,,TRUE
足.R,Leg.R,FALSE
ひざ.R,Knee.R,FALSE
足首.R,,FALSE
つま先.R,Andle.R,TRUE
下半身先,Lower_leaf,TRUE
ﾈｸﾀｲＩＫ,,FALSE
ﾈｸﾀｲＩＫ先,,TRUE
髪ＩＫ.L,,FALSE
髪ＩＫ先.L,,TRUE
髪ＩＫ.R,,FALSE
髪ＩＫ先.R,,TRUE
センター先,root_leaf,TRUE
足ＩＫ.L,,FALSE
つま先ＩＫ.L,,FALSE
つま先ＩＫ先.L,,TRUE
足ＩＫ先.L,,TRUE
足ＩＫ.R,,FALSE
つま先ＩＫ.R,,FALSE
つま先ＩＫ先.R,,TRUE
足ＩＫ先.R,,TRUE
両目.shadow,,FALSE
腕捩.L.shadow,,FALSE
腕捩.R.shadow,,FALSE
